인접산,weight
보수산,0.002217295
앞동산,0.041666667
대덕산,0.000109938
천겸산,0.000457718
오패산,0.016706717
운악산,0.007884083
봉대산,0.001099384
대왕산,0.000880282
우암산,0.000629363
기산,0.000549692
고대산,0.000497194
뒵내산,0.003653445
무룡산,0.001539138
흰봉산,0.00319625
덕두산,0.00756785
육청광산,0.001988778
백화산,0.002934272
인왕산,0.009898158
북배산,0.002912139
어답산,0.001562611
좌이산,0.001539138
원적산,0.000142056
경운산,0.002528584
명마산,0.001907277
설화산,0.006932409
해명산,0.004107901
중원산,0.030261536
고불산,0.004929481
금오산,0.000109938
청명산,0.002601671
향산,0.001196888
우두산,0.003627968
뇌정산,0.001467136
남한산,0.003032384
명성산,0.005966333
왕재등산,0.003812825
팔달산,0.005340271
윤산,0.023281596
봉덕산,0.000293427
당우산,0.000989446
삼마산,0.087971275
민산,0.13622291
구병산,0.000440141
만행산,0.004697286
오얀산,0.001026995
팔룡산,0.009784521
함지산,0.038898863
대암산,0.008025506
우미산,0.000439754
북덕산,0.001386482
만연산,0.130066972
갑산,0.000915437
서대산,0.01559792
월아산,0.001539138
둔덕산,0.021860329
작은동산,0.017030729
벽방산,0.001978892
다봉산,0.004988263
천주산,0.003078276
뒷동산,0.006666667
삼호산진입로,0.014188124
장산,0.000440141
신선산,0.029952706
천두산,0.01907277
좌구산,0.005553499
기룡산,0.00161385
작약산,0.000109938
오도산,0.000879507
남덕유산,0.018469657
당산,0.00351803
보덕산,0.000675904
사명산,0.002557
팔영산,0.00506928
내연산,0.039319249
대령산,0.001320423
비슬산,0.000659631
왕자산,0.008318891
금산,0.001868953
석불산,0.000521921
부춘산,0.004852686
봉래산,0.001351808
염포산,0.034156595
동뫼산,0.001099384
명태산,0.000497194
구곡산,0.001868953
미륵산,0.006156552
인단산,0.000515996
망경산,0.010398614
낙산,0.000572148
용마능선,0.003089598
내산,0.00027386
매화산,0.001759015
천관산,0.015545792
광대골산,0.001565762
연암산,0.000693241
태조산,0.021143847
성거산,0.004159445
운대산,0.000897666
황산,0.000109938
봉두산,0.005936675
관음산,0.028379773
오금산,0.001826722
운두산,0.003833391
건지산,0.000743792
박석산,0.001026995
덤바위산,0.00164316
용천산,0.001209323
창산,0.000923361
영남산,0.003961268
광명산,0.00034662
팔봉산,0.000329815
주정산,0.004072566
산성산,0.000329815
사태봉산,0.00070497
솥발산,0.000146714
은봉산,0.000693241
백양산,0.052845528
만복대,0.005219207
입화산,0.018917499
고장산,0.000521921
청송산,0.004397537
부랭이산,0.00026096
문도산,0.003188215
초피산,0.006983431
쉰움산,0.002200704
별산,0.007402185
금암산,0.00131594
망뫼산,0.000675904
칠보산,0.001760563
말목산,0.000146714
갈매실산,0.009255831
잣밭산,0.001173709
