"정류소번호","정류소명","Y좌표","X좌표","도로명주소","housePop","comPop","billaPop","aptPop","numUniv","numHsch","numMsch","numHosp","bsst_ars_no","sum_ride_pasgr","sum_alight_pasgr","sum_pasgr","numSubw"
8845,"중앙하이츠빌아파트",37.60245861,127.0106756,"대한민국 서울특별시 성북구 정릉2동 아리랑로19길",5232.21,1363.24233,494,2757,0,0,0,3,8845,118,2589,2707,0
8846,"세계문화유산정릉",37.6015477,127.0096788,"대한민국 서울특별시 성북구 정릉2동 아리랑로19길",4855.22,887.53273,550,2712,0,0,0,2,8846,9491,5700,15191,0
8847,"정릉꿈에그린1단지",37.60175307,127.0104874,"대한민국 서울특별시 성북구 정릉2동 아리랑로19나길",5357.21,1162.12397,522,2870,0,0,0,3,8847,2435,16,2451,0
8848,"일신휴먼빌.우정아파트",37.60014005,127.011297,"대한민국 서울특별시 성북구 아리랑로5길",5977.57,1126.14681,604,3557,0,0,0,2,8848,106,4053,4159,0
8849,"돈암코오롱하늘채아파트",37.59897238,127.0114211,"대한민국 서울특별시 성북구 아리랑로5길",5899.96,1046.09541,599,4083,0,0,0,1,8849,6061,726,6787,0
8850,"돈암코오롱하늘채아파트",37.59897663,127.011228,"대한민국 서울특별시 성북구 아리랑로5길",5703.8,1033.32589,580,3963,0,0,0,1,8850,215,8221,8436,0
8854,"힐스테이트입구",37.60610435,127.0276801,"대한민국 서울특별시 성북구 동소문로",6462.08,3731.05103,986,2165,0,1,0,13,8854,1714,2305,4019,1
8855,"한국가구박물관입구",37.59979114,126.9922781,"대한민국 서울특별시 성북구 성북동 대사관로",868.25,65.93076,75,0,0,0,0,0,8855,198,1684,1882,0
8856,"우리옛돌박물관.정법사",37.60070929,126.9902565,"대한민국 서울특별시 성북구 성북동 대사관로13길",347.96,33.46208,27,0,0,0,0,0,8856,1957,2575,4532,0
8858,"한국가구박물관입구",37.59972314,126.9920636,"대한민국 서울특별시 성북구 성북동 대사관로",907.18,61.934,84,0,0,0,0,0,8858,1731,41,1772,0
8868,"관문약국",37.6158597,127.0552994,"대한민국 서울특별시 성북구 장위동 장위로",6853.87,3709.49319,1313,148,0,0,1,5,8868,1324,2622,3946,0
8872,"쌍다리",37.59338237,126.9959969,"대한민국 서울특별시 성북구 성북로",3615.77,1221.33975,769,0,0,2,0,1,8872,4204,236,4440,0
8873,"삼선교",37.58917411,127.0074487,"대한민국 서울특별시 성북구 동소문로",4987.81,3812.44006,799,307,0,0,1,17,8873,59587,7961,67548,1
8874,"현대백화점별관주차장",37.60753672,127.0291417,"대한민국 서울특별시 성북구 동소문로",6757.39,3413.06235,1363,807,0,1,1,14,8874,12457,5548,18005,0
8876,"세광빌라",37.61490944,127.0544843,"대한민국 서울특별시 성북구 장위동 장위로",7653.49,3501.6928,1298,68,0,0,1,6,8876,1719,2045,3764,0
8881,"성가복지병원앞",37.60593949,127.0311141,"대한민국 서울특별시 성북구 종암로",6743.73,3616.74308,320,1868,0,1,1,13,8881,2146,1527,3673,0
